"date_unit","google","ozbargain","promobit","promocoupons24","reyesdelchollo","facebook","t","tinywriters","yahoo","Other"
"2016-10",80,128,0,84,52,14,0,0,2,522
"2016-11",43,3,0,4,3,9,0,0,2,316
"2016-12",35,0,0,0,1,2,0,0,1,308
"2017-1",82,0,0,2,4,4,0,0,5,371
"2017-2",103,0,0,1,1,6,0,0,2,336
"2017-3",27,0,0,0,0,0,0,0,1,358
"2017-4",19,0,0,0,0,1,0,4,1,321
"2017-5",32,0,0,0,0,2,0,6,1,238
"2017-6",27,0,0,0,0,3,0,3,1,221
"2017-7",19,0,80,1,2,0,0,3,1,471
"2017-8",8,0,15,0,0,4,37,5,2,384
"2017-9",11,0,3,0,0,1,0,2,2,305